Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite-1,Firefox 140.0.2,,,03-07-2025 13:25:06,03-07-2025 13:25:37,30.874s,PASSED
,,,,,,,
Test Cases/CICD_Tutor,Firefox 140.0.2,,,03-07-2025 13:25:07,03-07-2025 13:25:37,30.066s,PASSED
"openBrowser("""")",Firefox 140.0.2,,,03-07-2025 13:25:08,03-07-2025 13:25:20,12.217s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 140.0.2,,,03-07-2025 13:25:20,03-07-2025 13:25:23,2.976s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Firefox 140.0.2,,,03-07-2025 13:25:23,03-07-2025 13:25:24,0.968s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 140.0.2,,,03-07-2025 13:25:24,03-07-2025 13:25:25,0.845s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 140.0.2,,,03-07-2025 13:25:25,03-07-2025 13:25:25,0.335s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Firefox 140.0.2,,,03-07-2025 13:25:25,03-07-2025 13:25:26,1.205s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Firefox 140.0.2,,,03-07-2025 13:25:26,03-07-2025 13:25:28,1.410s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Firefox 140.0.2,,,03-07-2025 13:25:28,03-07-2025 13:25:28,0.471s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Firefox 140.0.2,,,03-07-2025 13:25:28,03-07-2025 13:25:29,0.511s,PASSED
delay(3),Firefox 140.0.2,,,03-07-2025 13:25:29,03-07-2025 13:25:32,3.047s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Firefox 140.0.2,,,03-07-2025 13:25:32,03-07-2025 13:25:32,0.545s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/pilih_tanggal""))",Firefox 140.0.2,,,03-07-2025 13:25:32,03-07-2025 13:25:33,0.525s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Test CICD"")",Firefox 140.0.2,,,03-07-2025 13:25:33,03-07-2025 13:25:33,0.613s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Firefox 140.0.2,,,03-07-2025 13:25:33,03-07-2025 13:25:34,0.941s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""), 0)",Firefox 140.0.2,,,03-07-2025 13:25:34,03-07-2025 13:25:35,0.429s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""))",Firefox 140.0.2,,,03-07-2025 13:25:35,03-07-2025 13:25:35,0.300s,PASSED
closeBrowser(STOP_ON_FAILURE),Firefox 140.0.2,,,03-07-2025 13:25:35,03-07-2025 13:25:37,1.996s,PASSED
